# Data1
# zs, mu, muerr
0.022183, 14.9354, 0.0733
0.025017, 15.0157, 0.0863
0.030548, 15.6940, 0.0993
0.037793, 16.0864, 0.0707
0.040797, 16.3986, 0.0980
0.041765, 16.3638, 0.0562
0.043854, 16.4974, 0.0856
0.049766, 16.5332, 0.0754
0.060610, 17.2191, 0.0616
0.067716, 17.4587, 0.0608
0.068928, 17.3417, 0.0865
0.072121, 17.7063, 0.0928
0.073364, 17.6078, 0.0952
0.075471, 17.5188, 0.0762
0.078317, 17.7456, 0.0555
0.091492, 18.0297, 0.0727
0.109134, 18.5811, 0.0681
0.110020, 18.5095, 0.1020
0.123910, 18.7305, 0.0600
0.124139, 18.8707, 0.1046
0.134115, 19.2004, 0.1018
0.136710, 19.1858, 0.0719
0.138906, 19.1010, 0.0911
0.139418, 19.1312, 0.0702
0.148662, 19.1971, 0.0687
0.154820, 19.3540, 0.0674
0.162350, 19.4160, 0.0999
0.162920, 19.3605, 0.0637
0.169133, 19.4749, 0.0803
0.169586, 19.5128, 0.0768
0.170923, 19.5737, 0.0793
0.176165, 19.4701, 0.0786
0.177011, 19.8703, 0.0824
0.180092, 19.6703, 0.0994
0.188156, 19.6419, 0.1046
0.207104, 20.0574, 0.0602
0.210187, 20.0550, 0.0663
0.211583, 20.2019, 0.0920
0.212960, 20.0543, 0.0928
0.220379, 20.2442, 0.0584
0.222403, 20.1935, 0.0581
0.234328, 20.5346, 0.0697
0.234865, 20.3167, 0.0551
0.234941, 20.4495, 0.0960
0.238508, 20.4557, 0.0553
0.239902, 20.4062, 0.0940
0.248115, 20.6043, 0.0560
0.251004, 20.5292, 0.0849
0.252697, 20.5037, 0.0658
0.256898, 20.6207, 0.0804
0.266340, 20.5055, 0.0932
0.269495, 20.6914, 0.0702
0.270337, 20.6695, 0.0684
0.273624, 20.7007, 0.0766
0.277562, 20.6920, 0.0913
0.281172, 20.7957, 0.0694
0.293906, 21.0504, 0.0825
0.294696, 20.9174, 0.0958
0.310298, 20.9248, 0.0923
0.311739, 21.0186, 0.1039
0.313673, 21.1417, 0.0766
0.315154, 21.1272, 0.0552
0.315612, 21.0650, 0.0673
0.324511, 21.1517, 0.1013
0.327130, 21.1286, 0.0663
0.338269, 21.1800, 0.1024
0.343116, 21.2816, 0.0890
0.349208, 21.2698, 0.0608
0.354031, 21.5448, 0.1023
0.354219, 21.4380, 0.0590
0.354738, 21.3623, 0.0848
0.357565, 21.2712, 0.0885
0.359664, 21.4721, 0.0834
0.360471, 21.4348, 0.0784
0.360962, 21.3294, 0.0914
0.361792, 21.5566, 0.1043
0.365050, 21.4182, 0.0644
0.370268, 21.4733, 0.1010
0.371633, 21.5879, 0.0560
0.372597, 21.4494, 0.0721
0.375127, 21.5754, 0.0892
0.379977, 21.6061, 0.0744
0.381130, 21.6414, 0.0679
0.385424, 21.7224, 0.0850
0.392025, 21.5672, 0.0900
0.409076, 21.8779, 0.0798
0.415111, 21.9759, 0.0914
0.418008, 21.7997, 0.0735
0.427055, 21.9160, 0.0765
0.427463, 21.9442, 0.0825
0.433062, 22.0545, 0.0791
0.439181, 21.8603, 0.0882
0.444365, 22.0079, 0.0837
0.445041, 22.0332, 0.0609
0.451543, 21.9591, 0.0773
0.452504, 22.0652, 0.0680
0.454001, 22.0105, 0.0710
0.454396, 22.1402, 0.0662
0.457063, 22.0064, 0.1049
0.460560, 21.9643, 0.0760
0.470555, 22.1541, 0.0821
0.471788, 22.0974, 0.0665
0.474408, 22.2578, 0.0649
0.477357, 22.0463, 0.0947
0.478540, 22.2760, 0.0638
0.480260, 22.1840, 0.0606
0.480967, 22.2254, 0.0996
0.489092, 22.0502, 0.0858
0.492508, 22.3948, 0.0798
0.495064, 22.2614, 0.0815
0.497840, 22.3404, 0.0948
0.500417, 22.3843, 0.0977
0.500619, 22.2247, 0.1007
0.508437, 22.3009, 0.0928
0.515605, 22.2396, 0.0884
0.535397, 22.6554, 0.0865
0.547133, 22.5323, 0.0862
0.547611, 22.6714, 0.0896
0.559497, 22.5969, 0.0829
0.565455, 22.6964, 0.0968
0.572462, 22.6640, 0.0620
0.585285, 22.8093, 0.0713
0.587096, 22.8728, 0.0666
0.587931, 22.7385, 0.0993
0.589424, 22.9228, 0.1005
0.597120, 22.8575, 0.0691
0.603088, 22.9516, 0.0618
0.603629, 22.8580, 0.0794
0.615574, 22.8658, 0.0882
0.620673, 22.9269, 0.0787
0.625367, 22.9159, 0.1027
0.638787, 22.9979, 0.0645
0.639893, 22.8533, 0.0996
0.640756, 23.0576, 0.1014
0.640893, 22.9341, 0.0837
0.641616, 23.0708, 0.0604
0.646274, 22.9804, 0.0796
0.648969, 22.9536, 0.0800
0.651049, 23.0935, 0.0914
0.652539, 22.9949, 0.0825
0.653723, 23.0059, 0.0671
0.659528, 23.0387, 0.0925
0.681734, 23.0003, 0.0997
0.698873, 23.2508, 0.0593
0.699386, 23.0610, 0.0942
0.705278, 23.2261, 0.0746
0.711267, 23.2376, 0.0850
0.711310, 23.2861, 0.0843
0.726441, 23.3722, 0.0734
0.728121, 23.2328, 0.0767
0.731292, 23.2409, 0.0724
0.733219, 23.3207, 0.0618
0.740934, 23.2985, 0.0572
0.743412, 23.3563, 0.0754
0.750498, 23.5083, 0.0853
0.752139, 23.4354, 0.0811
0.754526, 23.3873, 0.0845
0.758624, 23.3808, 0.0863
0.759161, 23.3984, 0.0755
0.760677, 23.5045, 0.0595
0.771651, 23.6790, 0.0983
0.772990, 23.5749, 0.0640
0.780864, 23.3702, 0.0898
0.782808, 23.5693, 0.1005
0.787174, 23.5502, 0.0698
0.795702, 23.6246, 0.0953
0.800230, 23.5189, 0.0723
0.814977, 23.5286, 0.0802
0.817597, 23.6197, 0.0794
0.824385, 23.6872, 0.1018
0.825697, 23.6212, 0.0775
0.836528, 23.6627, 0.1045
0.843006, 23.7959, 0.0978
0.843691, 23.7444, 0.0640
0.873910, 23.8303, 0.1019
0.874051, 23.8290, 0.0862
0.878353, 23.9727, 0.0992
0.885081, 23.7589, 0.0652
0.892477, 23.8288, 0.0735
0.894565, 23.9039, 0.0581
0.899033, 23.9386, 0.0787
0.905797, 23.8616, 0.0848
0.905877, 23.9798, 0.0761
0.906200, 24.0343, 0.0647
0.916660, 23.8562, 0.0876
0.917878, 24.0363, 0.0615
0.923247, 24.1348, 0.0983
0.927645, 23.9620, 0.0900
0.940926, 24.0158, 0.0808
0.951694, 24.1773, 0.0957
0.955327, 24.1934, 0.0988
0.972593, 24.2650, 0.0847
0.978425, 24.2314, 0.0695
0.987750, 24.3779, 0.0779
0.995046, 24.2423, 0.0554
0.999961, 24.1952, 0.0823
